match_minute	match_second	position_x	position_y	play_type	BodyPart	Number_Intervening_Opponents	Number_Intervening_Teammates	Interference_on_Shooter	outcome	position_xM	position_yM	position_xM_r	position_yM_r	position_xM_std	position_yM_std	position_xM_std_r	position_yM_std_r	BodyPartCode	Interference_on_Shooter_Code	distance_to_goalM	distance_to_centerM	angle	isFoot	isHead	header_distance_to_goalM	High	Low	Medium
47	59	22.44	7.73	Open Play	Right	3	0	Medium	Missed	30.56	7.748231132075472	-30.56	-7.748231132075472	83.56	41.74823113207548	136.56	75.74823113207547	2	2	23.740022865954945	7.748231132075472	19.049107021063605	1	0	0.0	0	0	1
30	13	8.23	-14.71	Open Play	Right	2	0	Medium	Goal	44.77	-14.744693396226417	-44.77	14.744693396226417	97.77	19.255306603773583	150.76999999999998	53.25530660377358	2	2	16.886055884922417	14.744693396226417	60.8311905672246	1	0	0.0	0	0	1
75	5	7.23	2.0	Open Play	Left	1	0	Medium	Saved	45.77	2.0047169811320757	-45.77	-2.0047169811320757	98.77	36.00471698113208	151.76999999999998	70.00471698113208	1	2	7.5027854943640335	2.0047169811320757	15.497501869533798	1	0	0.0	0	0	1
59	55	9.98	7.73	Open Play	Left	2	0	Low	Goal	43.02	7.748231132075472	-43.02	-7.748231132075472	96.02	41.74823113207548	149.01999999999998	75.74823113207547	1	1	12.634693730995764	7.748231132075472	37.82490180181958	1	0	0.0	0	1	0
45	46	8.73	4.49	Open Play	Right	1	0	Low	Goal	44.27	4.500589622641509	-44.27	-4.500589622641509	97.27	38.50058962264151	150.26999999999998	72.50058962264151	2	1	9.821822995321618	4.500589622641509	27.272529293469088	1	0	0.0	0	1	0
48	24	8.73	0.75	Open Play	Head	3	0	Medium	Missed	44.27	0.7517688679245282	-44.27	-0.7517688679245282	97.27	34.751768867924525	150.26999999999998	68.75176886792453	3	2	8.762308852738563	0.7517688679245282	4.921785206597402	0	1	8.762308852738563	0	0	1
8	40	7.98	2.99	Open Play	Head	1	0	Low	Saved	45.02	2.997051886792453	-45.02	-2.997051886792453	98.02	36.997051886792455	151.01999999999998	70.99705188679246	3	1	8.52424307561242	2.997051886792453	20.584692726594	0	1	8.52424307561242	0	1	0
84	48	2.99	-3.24	Open Play	Head	2	0	Low	Goal	50.01	-3.2476415094339623	-50.01	3.2476415094339623	103.01	30.75235849056604	156.01	64.75235849056604	3	1	4.414439417842147	3.2476415094339623	47.36521847602587	0	1	4.414439417842147	0	1	0
54	6	8.73	3.99	Open Play	Right	1	0	Medium	Missed	44.27	3.9994103773584895	-44.27	-3.9994103773584895	97.27	37.99941037735849	150.26999999999998	71.99941037735849	2	2	9.6025092224128	3.9994103773584895	24.613586372582688	1	0	0.0	0	0	1
91	39	4.24	1.25	Open Play	Head	2	0	High	Missed	48.76	1.252948113207547	-48.76	-1.252948113207547	101.76	35.252948113207545	154.76	69.25294811320754	3	3	4.421253100014788	1.252948113207547	16.462759434194314	0	1	4.421253100014788	1	0	0
